title,url,lang
paraiba,https://pt.wikipedia.org/wiki/Para%C3%ADba,pt
paraiba,https://en.wikipedia.org/wiki/Para%C3%ADba,en
paraiba,https://es.wikipedia.org/wiki/Para%C3%ADba,es
paraiba,https://de.wikipedia.org/wiki/Para%C3%ADba,de
paraiba,https://it.wikipedia.org/wiki/Para%C3%ADba,it
paraiba,https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D0%B0%D0%B8%D0%B1%D0%B0,ru
paraiba,https://zh.wikipedia.org/wiki/%E5%B8%95%E6%8B%89%E4%BC%8A%E5%B7%B4%E5%B7%9E,zh
paraiba,https://fr.wikipedia.org/wiki/Para%C3%ADba,fr
rio,https://pt.wikipedia.org/wiki/Rio_de_Janeiro,pt
rio,https://en.wikipedia.org/wiki/Rio_de_Janeiro,en
rio,https://es.wikipedia.org/wiki/R%C3%ADo_de_Janeiro,es
rio,https://de.wikipedia.org/wiki/Rio_de_Janeiro,de
rio,https://it.wikipedia.org/wiki/Rio_de_Janeiro,it
rio,https://ru.wikipedia.org/wiki/%D0%A0%D0%B8%D0%BE-%D0%B4%D0%B5-%D0%96%D0%B0%D0%BD%D0%B5%D0%B9%D1%80%D0%BE,ru
rio,https://zh.wikipedia.org/wiki/%E9%87%8C%E7%BA%A6%E7%83%AD%E5%86%85%E5%8D%A2,zh
rio,https://fr.wikipedia.org/wiki/Rio_de_Janeiro,fr